Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",47.007368,-117.900416,180.000000,top
"C2","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",46.911268,-119.413739,180.000000,top
"C3","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",46.911268,-121.456118,180.000000,top
"C4","50V 1nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",54.160571,-84.439919,0.000000,top
"C5","50V 22nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.331456,-72.319849,0.000000,top
"C6","50V 6.8nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.299146,-77.449919,180.000000,top
"C7","50V 6.8nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.299146,-74.269919,180.000000,top
"C8","50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",59.340696,-75.197601,0.000000,top
"C9","50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.400081,-86.620571,180.000000,top
"C10","10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.445615,-84.626908,180.000000,top
"C11","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",70.540081,-84.800571,0.000000,top
"C12","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.449174,-82.619396,180.000000,top
"C13","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.446134,-83.605017,180.000000,top
"C14","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",70.537094,-85.787205,0.000000,top
"C15","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",70.550081,-83.820571,0.000000,top
"C16","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",57.400081,-85.590571,180.000000,top
"C17","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",70.610081,-81.560571,90.000000,top
"C18","50V 10pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",62.830081,-94.660571,-90.000000,top
"C19","50V 10pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",65.339287,-96.432173,180.000000,top
"C20","?","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",57.275138,-57.451780,90.000000,top
"C21","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",76.828164,-49.835470,0.000000,top
"C22","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",76.828197,-45.901548,0.000000,top
"C23","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0805",76.828197,-47.865354,0.000000,top
"C24","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",68.351082,-72.864702,-90.000000,top
"C25","16V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0603",69.673980,-72.844291,-90.000000,top
"C26","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0402",244.225298,-43.401082,180.000000,top
"C27","16V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C0603",244.245709,-44.723980,180.000000,top
